Select,Quiz,Answer,Yomi
"@","消防法の基底によると、日本のセルフ方式のガソリンスタンドにおいて、ハイオクガソリンの給油ノズルは何色と定められているか？","黄色","き"
"@","イギリス海軍の制服がこの色であったことに由来する、濃い紺色を指す英語は何？","ネイビー","ねいびー"
"@","現在は「武力よりも言論の力の方が強い」といった象徴的な意味合いで使われることが多い、19世紀のブルワー・リットンの戯曲「リシュリィー」に登場する有名な一節といえば「何は剣より強し」でしょう？","ペンは剣より強し","ペン"
"@","人形浄瑠璃の近松門左衛門や、浮世草子の井原西鶴らが活躍した、17世紀後半の上方を中心に栄えた文化を、当時の元号から「何文化」というでしょう？","元禄文化","げんろく"
"@","漫才コンビ・ツービートを構成する2人とは、ビートたけしと誰でしょう？","ビートきよし","ビートきよし"
"@","足利尊氏の「尊」の字はこの人物からの諱からもらい受けたものである、鎌倉幕府滅亡後に尊氏らと協力して「建武の新政」とよばれる政治体制を敷いた第96代天皇は何天皇？","後醍醐天皇","ごだいご"
"@","兄に同じく漫画家の勉を持つ、SF時代活劇「虹色とうがらし」や、高校野球を題材にした「クロスゲーム」「タッチ」などの代表作がある漫画家は誰？","あだち充","あだちみつる"
"@","NHKで放送されていた「週刊こどもニュース」では初代お父さん役としてキャスターも務めていた、現在では報道番組や選挙特番でのわかりやすいニュース解説で知られるフリージャーナリストは誰？","池上彰","いけがみあきら"
"@","1955-56シーズンに初回が開催され1992-93から現在の名称になった、ヨーロッパのサッカークラブの王者を決めるUEFA主催の大会を「UEFA何リーグ」というでしょう？","UEFAチャンピオンズリーグ","ちゃんぴおんず"
"@","もともとは「アフリカの」といった意味である、日本では主にパーマを細かく縮らせて丸く膨らませた髪型を指す言葉は何でしょう？","アフロ","あふろ"
"@","2020年に完了した「イギリスかの欧州連合からの離脱」のことを「イギリス」と「離脱」をミスる英語を組み合わせた言葉で俗に何というでしょう？","ブレグジット","ぶれぐじっと"
"@","古屋市の東山動植物園で飼育され、2015年ごろから「イケメンすぎるゴリラ」として話題になり、写真集も発売されたニシローランドゴリラの名前は何？","シャバーニ","しゃばーに"
"@","モヤシやゼンマイなどの野菜・山菜を塩ゆでにしてものを、ごま油などの調味料で和えて作る、日本ではビビンバの具としてもおなじみの朝鮮半島の和え物を何という？","ナムル","なむる"
"@","1982年から1983年まで少女漫画雑誌「花とゆめ」に掲載された魔夜峰央のコメディ漫画を原作とする、虐げられていた埼玉県民を開放すべく行動する麻実麗と、それを阻止しようとする組織の争いを描いた映画は何でしょう？","翔んで埼玉","とんでさいたま"
"@","ヘンデルの還元楽曲集「水上の音楽」はこの川での舟遊びの際に演奏されたといわれｔる、タワーブリッジやロンドン橋が架かるイギリスの川は何川？","テムズ川","てむず"
"@","芸能人の志村けんが考案したとされる、じゃんけんをする際に、タイミングを合わせるため最初に言われる有名な文句は何でしょう？","最初はグー","さいしょはぐー"
"@","1684年にフランス司祭によって創設され、日本では仙台に児童養護施設を運営しているほか、函館と鹿児島に学校を持つことでも知られるカトリックの修道会を、その創設者の名前から「何会」というでしょう？","ラ・サール会","らさーる"
"@","これが好きな人は「マヨラー」と呼ばれる、タルタルソースを作る際にも使われる調味料は何でしょう？","マヨネーズ","まよねーず"
"@","夫婦が末永く人生を共に過ごすことを願って謡われた能が由来とされる、結婚披露宴の際に新郎新婦が座る一段高くなった席を何というでしょう？","高砂","たかさご"
"@","ウォーターセブンの市長であるアイスバーグによって命名された、尾田栄一郎の漫画「ONE PIECE」でゴーイングメリー号に続いて主人公ら麦わらの一味が乗る海賊船は「何号」でしょう？","サウザンドサニー号","さうざんとさにー"
"@","カクテルの「パロマ」「スプモーニ」「ソルティドッグ」に共通して使われる、ある果物のジュースは何でしょう？","グレープフルーツジュース","ぐれーぷふるーつ"
"@","両手を加えて頭も使って体を支える逆立ちのことを、一般に「何倒立」というでしょう？","三点倒立","さんてん"
