Select,Quiz,Answer,Yomi
"@","見た目の美しさから「森の貴婦人」との別名を持ち、ジャイアントパンダ、コビトカバとともに世界三大珍獣に数えられる、アフリカ中部に生息するキリン科の動物は何でしょう？","オカピ","おかぴ"
"@","5×6マスの盤面を操作し、同じ色のドロップを消すことでモンスターを攻撃してダンジョンクリアを目指す、「パズドラ」の略称でも知られるガンホー・オンライン・エンターテインメントのゲームアプリは何でしょう？","パズル＆ドラゴンズ","ぱずるあんどどらごんず"
"@","形式上は独立しているものの、実施には別の支配者によって事実上管理・統制されている政権を、「操り人形」を意味する二字熟語を用いて何政権というでしょう？","傀儡政権","かいらい"
"@","演歌歌手の「丘」、声優の「加藤」、元フィギュア選手の「伊藤」に共通する、下の名前は何でしょう？","みどり","みどり"
"@","「町」「大名」「米」などの種類があり、佐川急便のトレードマークになっている、かつて信書や荷物を輸送していた職業は何でしょう？","飛脚","ひきゃく"
"@","1972年にロックバンド「キャロル」を結成し、1975年にアルバム「I LOBE YOU, OK」でソロデビューを果たした、代表曲に「時間よ止まれ」や「止まらないHa～Ha」などがあり、「永ちゃん」の愛称で知られるミュージシャンは誰でしょう？","矢沢永吉","やざわえいきち"
"@","尺貫法における重さの単位で、1000匁、すなわち3.75kgを1とするものは何でしょう？","貫","かん"
"@","アメリカの作家アレグザンダー・ケイの「残された人々」を原作都市、「のこされ島」と呼ばれる小さな島に住む少年を主人公とする、宮崎速雄のアニメ初監督作品であるテレビアニメは何でしょう？","未来少年コナン","みらいしょうねんこなん"
"@","貴家悠と橘賢一による漫画「テラフォーマーズ」で、タイトルの「テラフォーマーズ」とは何の生き物が火星で進化を遂げたものは何でしょう？","ゴキブリ","こきぶり"
"@","医学的には「起立性低血圧」の症状の一種とされる、長時間座っている状態からいきなり立った際にくらくらするような症状のことを何という？","立ちくらみ","たちくらみ"
"@","2017年の大会から導入された、お笑いコンテスト「M1グランプリ」で、決勝ファーストラウンドのネタ披露順を決める際に用いられるクジを何というでしょう？","笑神籤","えみくじ"
"@","縦軸に故障率、横軸に使用年数をとり、工業製品の故障率の時間変化を表した曲線のことを、その形から「何曲線」というでしょう？","バスタブ曲線","ばすたぶ"
"@","日本では主にトマトを使ったものを指して言うことが多い、イタリア語で「具だくさんのスープ」といった意味がる野菜スープの呼び名は何でしょう？","ミネストローネ","みねすとろーね"
